hour,price,distance,surge_multiplier,cab_type,name
17,9.5,0.54,1.0,Uber,UberXL
12,9.5,0.55,1.0,Uber,UberXL
22,19.0,3.22,1.0,Uber,UberXL
17,10.5,2.4,1.0,Lyft,Lyft
21,7.0,1.5,1.0,Uber,WAV
13,9.0,2.9,1.0,Lyft,Shared
21,11.5,3.08,1.0,Uber,UberX
2,20.5,1.65,1.0,Uber,Black
16,3.0,0.59,1.0,Lyft,Shared
9,16.5,1.82,1.0,Lyft,Lux
21,9.5,2.8,1.0,Uber,UberX
22,27.5,1.02,1.0,Lyft,Lux Black XL
23,20.5,2.62,1.0,Uber,UberXL
20,22.5,2.8,1.0,Lyft,Lux
13,8.5,2.48,1.0,Uber,WAV
19,10.5,1.92,1.0,Lyft,Lyft
4,9.0,3.04,1.0,Uber,UberPool
17,7.5,1.12,1.0,Uber,UberPool
18,3.0,0.78,1.0,Lyft,Shared
23,8.5,0.49,1.0,Uber,WAV
10,18.0,3.37,1.0,Uber,UberXL
3,11.0,1.28,1.0,Lyft,Lyft XL
19,16.5,3.09,1.0,Lyft,Lyft XL
5,13.5,1.34,1.0,Lyft,Lux
0,17.0,3.08,1.0,Uber,UberXL
11,7.5,1.1,1.0,Uber,UberPool
18,9.0,1.08,1.0,Uber,UberPool
6,25.0,3.01,1.0,Uber,Black
13,16.5,2.89,1.0,Lyft,Lyft XL
22,31.5,4.48,1.0,Uber,Black
6,3.5,4.45,1.0,Lyft,Shared
9,11.0,1.36,1.0,Lyft,Lyft XL
3,30.0,2.3,1.0,Lyft,Lux Black XL
20,8.5,1.16,1.0,Uber,WAV
16,18.0,3.2,1.0,Uber,UberXL
18,7.5,1.06,1.0,Uber,WAV
3,34.0,3.03,1.0,Lyft,Lux Black XL
0,7.0,0.73,1.0,Lyft,Lyft
7,13.0,1.36,1.0,Uber,UberXL
8,8.0,1.03,1.0,Uber,WAV
0,37.5,4.4,1.0,Uber,Black SUV
14,5.0,2.41,1.0,Lyft,Shared
13,16.5,1.12,1.0,Lyft,Lux Black
3,11.5,3.22,1.0,Uber,UberX
4,10.5,0.71,1.0,Lyft,Lux
17,10.0,3.3,1.0,Uber,UberPool
12,25.0,3.05,1.0,Uber,Black
22,7.5,1.49,1.0,Uber,UberPool
22,13.5,2.19,1.0,Uber,UberXL
19,10.5,4.55,1.0,Lyft,Shared
3,16.5,3.08,1.0,Uber,UberX
6,7.0,2.4,1.0,Lyft,Shared
6,32.5,3.26,1.5,Lyft,Lux
10,7.0,1.55,1.0,Lyft,Lyft
21,16.5,3.09,1.0,Lyft,Lyft XL
12,19.5,2.79,1.0,Uber,Black
16,45.5,1.18,1.75,Lyft,Lux Black XL
23,26.0,0.99,1.0,Uber,Black SUV
4,10.5,0.42,1.0,Lyft,Lux
9,16.5,1.27,1.0,Lyft,Lux Black
13,16.5,2.71,1.0,Lyft,Lyft XL
23,7.0,1.1,1.0,Uber,UberX
22,19.5,3.32,1.0,Lyft,Lyft XL
17,9.0,3.03,1.0,Lyft,Shared
12,3.0,2.66,1.0,Lyft,Shared
15,16.5,3.13,1.5,Lyft,Lyft
8,16.0,1.31,1.0,Uber,Black
21,7.0,1.25,1.0,Uber,WAV
16,8.5,2.48,1.0,Uber,UberPool
16,14.0,3.44,1.0,Uber,UberPool
11,30.0,2.3,1.0,Lyft,Lux Black XL
4,21.5,2.57,1.0,Uber,Black
6,32.0,2.66,1.0,Uber,Black SUV
7,15.0,2.27,1.0,Uber,UberXL
19,9.5,1.41,1.0,Uber,UberPool
13,19.5,2.96,1.0,Lyft,Lux
23,7.0,2.39,1.0,Lyft,Shared
16,9.0,2.37,1.0,Lyft,Lyft
4,13.0,1.88,1.0,Uber,UberXL
16,17.0,1.23,1.0,Uber,Black
7,15.0,4.42,1.0,Uber,WAV
5,14.0,1.51,1.0,Uber,UberXL
2,26.0,1.16,1.0,Uber,Black SUV
0,32.0,2.84,1.0,Uber,Black SUV
3,32.5,2.34,1.0,Lyft,Lux Black XL
13,3.0,0.43,1.0,Lyft,Shared
16,10.5,0.91,1.0,Uber,UberXL
7,27.5,0.49,1.0,Uber,Black SUV
3,9.0,3.09,1.0,Lyft,Shared
17,9.0,2.38,1.0,Uber,UberPool
21,7.5,1.03,1.0,Uber,WAV
11,19.5,2.79,1.0,Uber,Black
20,19.0,1.81,1.0,Uber,Black
16,27.5,3.53,1.0,Uber,Black
14,26.0,1.23,1.0,Lyft,Lux Black XL
1,9.5,2.32,1.0,Uber,UberX
2,16.5,2.65,1.0,Lyft,Lyft XL
21,38.5,3.39,1.0,Uber,Black SUV
23,27.5,1.03,1.0,Lyft,Lux Black XL
16,7.0,2.61,1.0,Lyft,Shared
16,9.0,0.4,1.0,Lyft,Lyft XL
14,38.0,3.44,1.0,Lyft,Lux Black XL
2,7.0,2.89,1.0,Lyft,Shared
1,42.5,4.65,1.0,Lyft,Lux Black XL
22,27.5,1.2,1.0,Lyft,Lux Black XL
18,13.5,1.15,1.0,Lyft,Lux
7,32.5,4.78,1.0,Lyft,Lux Black
19,13.5,2.14,1.0,Lyft,Lyft XL
10,15.5,2.79,1.0,Uber,UberXL
10,11.5,3.07,1.0,Uber,WAV
15,9.5,2.3,1.0,Uber,WAV
23,11.0,0.66,1.0,Lyft,Lux
15,10.5,1.5,1.0,Lyft,Lyft XL
5,5.5,0.49,1.0,Uber,UberPool
14,17.0,2.62,1.0,Uber,UberXL
20,9.5,2.82,1.0,Uber,UberX
11,26.5,1.56,1.0,Uber,Black SUV
12,34.0,3.16,1.0,Lyft,Lux Black XL
7,9.5,2.33,1.0,Uber,UberX
18,26.0,0.39,1.0,Uber,Black SUV
10,31.5,2.58,1.0,Uber,Black SUV
14,11.0,3.64,1.0,Lyft,Lyft
16,26.0,2.71,1.0,Lyft,Lux Black
3,26.0,0.46,1.0,Lyft,Lux Black XL
0,27.5,3.15,1.0,Lyft,Lux Black
23,21.5,4.4,1.0,Uber,UberXL
12,12.0,1.57,1.0,Uber,UberXL
17,7.0,2.96,1.0,Lyft,Shared
12,16.5,3.01,1.0,Uber,UberXL
22,15.0,1.89,1.0,Uber,UberXL
2,12.0,3.05,1.0,Uber,UberX
18,10.5,0.64,1.0,Lyft,Lux
17,8.5,2.19,1.0,Uber,UberX
11,27.0,1.34,1.0,Uber,Black SUV
11,26.0,1.46,1.0,Lyft,Lux Black XL
14,15.0,1.26,1.0,Uber,Black
6,9.5,2.62,1.0,Uber,UberX
16,7.0,2.57,1.0,Lyft,Shared
20,3.0,1.26,1.0,Lyft,Shared
22,7.5,0.61,1.0,Uber,UberX
20,5.0,1.18,1.0,Lyft,Shared
19,24.0,3.04,1.0,Uber,Black
18,14.5,7.46,1.0,Uber,UberPool
2,11.0,3.53,1.0,Uber,UberPool
8,18.5,1.61,1.0,Uber,Black
6,7.0,3.07,1.0,Lyft,Shared
16,8.5,1.91,1.0,Uber,WAV
14,11.5,1.16,1.0,Uber,UberXL
19,36.5,3.07,1.0,Uber,Black SUV
14,11.5,3.22,1.0,Uber,UberX
7,19.5,3.02,1.0,Lyft,Lux
12,14.0,2.29,1.0,Uber,UberXL
6,8.0,1.16,1.0,Uber,UberPool
12,10.5,2.66,1.0,Uber,UberX
16,31.5,3.04,1.0,Uber,Black SUV
2,7.5,1.11,1.0,Uber,UberPool
13,11.0,0.66,1.25,Lyft,Lyft XL
8,13.0,1.61,1.0,Uber,UberXL
12,5.0,1.49,1.0,Lyft,Shared
13,10.5,3.05,1.0,Uber,UberX
13,9.5,0.72,1.0,Uber,UberX
13,11.5,0.8,1.0,Uber,UberXL
5,26.0,2.69,1.75,Lyft,Lyft XL
12,26.0,0.49,1.0,Uber,Black SUV
14,7.0,1.47,1.0,Lyft,Lyft
8,7.0,1.5,1.0,Uber,WAV
17,7.0,3.16,1.0,Lyft,Shared
17,28.0,1.57,1.0,Uber,Black SUV
6,10.5,0.56,1.0,Uber,UberXL
2,3.5,1.39,1.0,Lyft,Shared
14,32.5,3.21,1.0,Lyft,Lux Black XL
10,19.5,1.41,1.0,Uber,Black
5,27.5,0.54,1.0,Lyft,Lux Black XL
11,19.5,2.41,1.0,Lyft,Lux
10,20.5,2.27,1.0,Uber,Black
1,13.5,2.48,1.25,Lyft,Lyft
21,7.0,1.03,1.0,Lyft,Lyft
11,26.5,1.64,1.0,Uber,Black SUV
13,16.5,2.5,1.0,Lyft,Lux
6,26.0,1.08,1.0,Uber,Black SUV
22,11.0,3.4,1.0,Lyft,Lyft
17,26.0,0.92,1.0,Uber,Black SUV
14,26.0,3.15,1.0,Lyft,Lux Black
0,11.0,1.36,1.0,Lyft,Lyft XL
9,11.0,3.02,1.0,Lyft,Lyft
18,29.5,1.8,1.0,Uber,Black SUV
5,11.5,1.34,1.0,Uber,UberXL
9,13.5,1.99,1.0,Uber,UberXL
12,11.0,4.72,1.0,Uber,UberPool
23,7.0,0.91,1.0,Uber,UberPool
5,32.5,3.01,1.0,Lyft,Lux Black XL
23,32.5,2.39,1.0,Lyft,Lux Black XL
6,9.5,2.27,1.0,Uber,UberX
8,22.5,2.15,1.25,Lyft,Lux
1,19.5,3.24,1.0,Lyft,Lyft XL
6,16.5,2.94,1.0,Lyft,Lyft XL
1,27.5,1.19,1.0,Lyft,Lux Black XL
10,13.5,2.41,1.0,Lyft,Lyft XL
19,7.0,1.35,1.0,Lyft,Lyft
20,27.0,1.49,1.0,Uber,Black SUV
3,10.5,2.42,1.0,Lyft,Lyft
23,52.5,4.32,1.5,Lyft,Lux Black
16,9.0,2.31,1.0,Lyft,Lyft
14,16.5,0.65,1.0,Lyft,Lux Black
11,14.0,1.51,1.0,Uber,UberXL
17,3.0,3.26,1.0,Lyft,Shared
6,32.5,2.89,1.0,Lyft,Lux Black XL
18,22.5,4.27,2.0,Lyft,Lyft
13,13.5,1.72,1.0,Lyft,Lyft XL
0,5.0,0.71,1.0,Lyft,Shared
22,26.0,2.86,1.0,Uber,Black
22,36.0,3.39,1.0,Uber,Black SUV
10,9.0,1.35,1.0,Uber,UberPool
12,22.5,1.47,1.25,Lyft,Lux Black
0,29.5,4.9,1.0,Uber,WAV
9,16.5,1.71,1.0,Lyft,Lux
23,17.5,1.41,1.0,Uber,Black
11,15.5,2.2,1.0,Uber,UberXL
15,10.5,0.77,1.0,Lyft,Lux
2,34.0,4.55,1.0,Lyft,Lux Black
23,32.5,4.44,1.0,Uber,Black
11,9.0,1.87,1.0,Uber,UberPool
7,22.5,1.72,1.0,Lyft,Lux Black
1,5.0,1.03,1.0,Lyft,Shared
14,7.0,2.64,1.0,Lyft,Shared
21,16.5,2.62,1.0,Lyft,Lux
19,9.0,1.58,1.0,Lyft,Lyft
8,23.0,1.34,1.0,Uber,Black SUV
22,25.0,3.01,1.0,Uber,Black
13,11.5,4.48,1.0,Uber,WAV
19,10.5,2.84,1.0,Uber,UberX
14,16.5,1.25,1.0,Lyft,Lux Black
10,13.5,1.07,1.0,Lyft,Lux
3,30.0,2.38,1.0,Lyft,Lux Black XL
17,22.5,2.27,1.0,Lyft,Lux Black
20,7.0,0.76,1.0,Lyft,Shared
22,7.5,1.19,1.0,Uber,WAV
23,7.5,2.46,1.0,Uber,UberPool
12,15.5,0.72,1.0,Uber,Black
21,7.0,1.2,1.0,Lyft,Lyft
9,9.0,3.15,1.0,Lyft,Shared
10,11.5,1.03,1.0,Uber,UberXL
12,23.5,3.01,1.0,Uber,Black
7,11.0,3.18,1.0,Lyft,Lyft
6,22.5,2.5,1.25,Lyft,Lux
2,11.5,0.92,1.0,Uber,UberXL
17,9.0,1.04,1.0,Uber,UberPool
17,30.0,2.31,1.0,Lyft,Lux Black XL
9,19.5,4.55,1.0,Lyft,Lyft XL
13,34.0,3.08,1.0,Lyft,Lux Black XL
11,19.5,3.03,1.0,Lyft,Lux
23,46.0,7.46,1.0,Uber,Black SUV
12,27.5,3.67,1.0,Lyft,Lux
11,8.5,2.48,1.0,Uber,WAV
12,8.5,1.04,1.0,Uber,WAV
15,26.0,2.32,1.0,Uber,Black SUV
19,9.0,1.23,1.0,Lyft,Lyft
5,9.0,3.61,1.0,Uber,UberPool
10,20.5,2.86,1.0,Uber,Black
14,10.5,1.81,1.0,Uber,WAV
7,10.5,1.26,1.0,Lyft,Lyft XL
19,13.5,2.45,1.0,Lyft,Lyft XL
23,7.0,1.17,1.0,Lyft,Shared
13,29.0,1.61,1.0,Uber,Black SUV
0,22.5,3.46,1.0,Lyft,Lux
23,7.0,1.15,1.0,Lyft,Lyft
8,29.0,1.44,1.0,Uber,Black SUV
13,27.5,1.25,1.0,Lyft,Lux Black XL
19,13.5,1.01,1.0,Lyft,Lux
21,5.0,1.57,1.0,Lyft,Shared
17,8.0,1.56,1.0,Uber,UberX
6,8.0,1.56,1.0,Uber,WAV
18,32.5,2.73,1.0,Lyft,Lux Black XL
3,16.0,2.58,1.0,Uber,UberXL
6,11.0,1.02,1.0,Lyft,Lyft XL
23,38.5,0.56,1.5,Lyft,Lux Black XL
5,7.0,1.59,1.0,Lyft,Lyft
10,9.0,2.17,1.0,Lyft,Lyft
17,13.0,1.94,1.0,Uber,WAV
20,27.0,1.0,1.0,Uber,Black SUV
9,8.0,1.5,1.0,Uber,UberX
15,7.0,0.69,1.0,Lyft,Lyft
13,8.5,1.08,1.0,Uber,WAV
2,15.0,0.39,1.0,Uber,Black
14,28.5,2.8,1.0,Uber,Black SUV
18,22.0,3.45,1.0,Uber,Black
12,23.0,1.89,1.0,Uber,Black
15,25.0,2.84,1.0,Uber,Black
11,16.5,3.04,1.0,Lyft,Lyft XL
11,9.0,2.48,1.0,Uber,UberPool
19,26.0,2.94,1.0,Lyft,Lux Black
6,11.5,1.3,1.0,Uber,UberXL
6,7.0,2.93,1.0,Lyft,Shared
20,10.5,3.22,1.0,Uber,UberX
17,10.5,1.19,1.0,Lyft,Lux
6,8.0,1.41,1.0,Uber,WAV
9,10.5,1.01,1.0,Lyft,Lux
18,13.5,2.4,1.0,Lyft,Lyft XL
0,10.5,2.96,1.0,Lyft,Lyft
21,9.5,2.32,1.0,Uber,UberX
12,27.5,3.21,1.0,Lyft,Lux Black
16,10.5,1.41,1.0,Uber,UberX
7,15.0,1.34,1.0,Uber,Black
9,19.5,6.26,1.0,Uber,UberXL
9,17.5,2.86,1.0,Uber,WAV
18,16.5,2.13,1.0,Lyft,Lux
15,3.5,1.05,1.0,Lyft,Shared
21,11.5,3.1,1.0,Uber,WAV
15,9.5,3.39,1.0,Uber,WAV
18,33.0,2.8,1.0,Uber,Black SUV
23,10.0,3.39,1.0,Uber,UberPool
22,17.5,1.35,1.0,Uber,Black
12,11.0,2.34,1.0,Lyft,Lyft
17,15.0,1.5,1.0,Uber,Black
16,15.0,1.08,1.0,Uber,Black
0,28.5,2.62,1.0,Uber,Black SUV
0,32.5,3.16,1.0,Lyft,Lux Black XL
14,32.5,2.84,1.0,Lyft,Lux Black XL
20,22.5,2.41,1.0,Lyft,Lux Black
15,16.5,1.24,1.0,Lyft,Lux Black
8,7.5,0.61,1.0,Uber,WAV
4,11.5,1.21,1.0,Uber,UberXL
20,10.5,2.84,1.25,Lyft,Lyft
14,13.5,1.29,1.0,Lyft,Lux
23,22.5,2.63,1.0,Lyft,Lux Black
9,15.0,0.39,1.0,Uber,Black
15,27.5,0.98,1.0,Lyft,Lux Black XL
23,16.5,1.07,1.0,Lyft,Lux Black
21,18.0,1.34,1.0,Uber,UberXL
21,7.0,1.06,1.0,Lyft,Lyft
21,22.5,4.61,1.0,Lyft,Lyft XL
4,7.0,1.5,1.0,Lyft,Lyft
8,11.0,2.12,1.25,Lyft,Lyft
5,7.0,0.53,1.0,Lyft,Lyft
3,37.5,0.39,1.0,Uber,Black SUV
7,10.5,2.8,1.0,Uber,WAV
0,27.5,1.03,1.0,Uber,Black SUV
20,15.0,1.5,1.0,Uber,Black
21,8.5,1.84,1.0,Uber,WAV
6,13.0,2.58,1.0,Uber,UberX
10,7.0,1.21,1.0,Uber,UberX
13,16.5,2.59,1.0,Lyft,Lyft XL
17,41.5,4.48,1.0,Uber,Black SUV
9,7.0,0.73,1.0,Lyft,Lyft
20,27.5,0.64,1.0,Lyft,Lux Black XL
16,30.0,2.31,1.75,Lyft,Lyft XL
13,7.0,1.22,1.0,Uber,UberX
9,38.0,1.56,1.5,Lyft,Lux Black XL
7,19.5,1.5,1.0,Lyft,Lux Black
9,22.5,2.42,1.0,Lyft,Lux Black
8,22.5,1.2,1.25,Lyft,Lux Black
8,16.0,2.41,1.0,Uber,UberXL
12,5.0,0.65,1.0,Lyft,Shared
6,29.5,2.66,1.0,Uber,Black SUV
15,10.5,3.24,1.0,Lyft,Lyft
1,8.5,2.46,1.0,Uber,WAV
4,7.0,2.61,1.0,Lyft,Shared
13,17.5,1.91,1.0,Uber,Black
15,11.5,1.56,1.0,Uber,UberX
7,13.5,1.53,1.0,Lyft,Lyft XL
15,13.5,1.02,1.0,Lyft,Lux
16,26.5,1.4,1.0,Uber,Black SUV
8,16.5,1.46,1.0,Uber,Black
10,15.0,1.34,1.0,Uber,Black
18,7.0,3.11,1.0,Lyft,Shared
1,9.0,1.42,1.0,Lyft,Lyft
15,16.5,1.44,1.0,Lyft,Lux Black
10,27.5,1.07,1.0,Lyft,Lux Black XL
21,13.5,2.06,1.0,Lyft,Lyft XL
8,10.5,2.89,1.0,Lyft,Lyft
2,26.0,0.98,1.0,Uber,Black SUV
21,8.0,3.07,1.0,Uber,UberPool
9,27.5,3.15,1.0,Lyft,Lux Black
14,38.5,7.46,1.0,Uber,Black
0,32.5,2.32,1.0,Lyft,Lux Black XL
2,3.0,0.7,1.0,Lyft,Shared
7,26.5,0.72,1.0,Uber,Black SUV
15,16.5,3.12,1.0,Lyft,Lyft XL
21,7.0,0.72,1.0,Uber,UberX
4,31.5,3.08,1.0,Uber,Black SUV
23,7.5,1.5,1.0,Uber,UberPool
17,19.5,2.94,1.0,Lyft,Lux
5,14.0,2.48,1.0,Uber,UberXL
13,11.0,3.39,1.0,Lyft,Lyft
12,10.0,1.34,1.0,Uber,UberPool
22,7.5,1.16,1.0,Uber,UberPool
4,37.5,3.3,1.0,Uber,Black SUV
3,15.0,1.57,1.0,Uber,UberXL
17,14.0,4.44,1.0,Uber,UberPool
16,7.5,1.23,1.0,Uber,WAV
23,16.0,0.61,1.0,Uber,Black
19,11.5,2.66,1.0,Uber,WAV
6,5.0,1.48,1.0,Lyft,Shared
18,13.5,1.54,1.0,Lyft,Lyft XL
3,7.5,1.92,1.0,Uber,UberPool
14,13.5,0.48,1.25,Lyft,Lux
1,15.0,5.56,1.0,Uber,WAV
2,13.5,2.08,1.0,Lyft,Lyft XL
23,11.0,1.22,1.0,Lyft,Lyft XL
19,9.5,2.32,1.0,Uber,WAV
21,34.0,3.23,1.0,Lyft,Lux Black XL
2,8.5,1.89,1.0,Uber,UberX
4,7.0,1.56,1.0,Uber,UberPool
0,30.0,1.52,1.0,Lyft,Lux Black XL
18,10.5,0.61,1.0,Lyft,Lyft XL
14,26.0,0.59,1.0,Lyft,Lux Black XL
9,19.5,3.21,1.0,Lyft,Lyft XL
19,7.0,0.53,1.0,Lyft,Lyft
11,7.5,1.35,1.0,Uber,UberPool
0,7.0,0.55,1.0,Uber,WAV
1,7.0,0.82,1.0,Uber,UberX
10,11.5,1.18,1.0,Uber,UberXL
20,19.5,2.84,1.0,Lyft,Lux
16,10.0,2.34,1.0,Uber,UberPool
10,22.5,2.96,1.0,Lyft,Lux Black
10,31.0,2.32,1.0,Uber,Black SUV
12,7.0,1.2,1.0,Lyft,Lyft
8,10.5,2.52,1.0,Lyft,Lyft
16,32.5,2.46,1.0,Lyft,Lux Black XL
21,9.5,2.79,1.0,Uber,UberX
13,6.5,1.56,1.0,Uber,UberPool
2,19.5,2.61,1.0,Uber,Black
23,10.5,2.13,1.0,Lyft,Lyft
13,10.5,1.25,1.0,Uber,UberXL
13,29.5,2.32,1.0,Uber,Black SUV
16,25.5,3.42,1.0,Uber,WAV
20,27.5,1.23,1.0,Uber,Black SUV
19,16.5,1.55,1.0,Lyft,Lux
23,5.0,1.09,1.0,Lyft,Shared
0,19.5,3.14,1.0,Lyft,Lux
22,16.5,3.05,1.5,Lyft,Lyft
16,13.5,1.06,1.0,Lyft,Lux
9,10.5,1.72,1.0,Lyft,Lyft
4,10.5,1.38,1.0,Lyft,Lyft XL
15,9.5,2.32,1.0,Uber,UberX
0,16.5,3.05,1.0,Uber,UberXL
3,9.5,3.22,1.0,Uber,WAV
10,7.0,1.07,1.0,Lyft,Lyft
12,13.5,1.49,1.0,Lyft,Lux
12,10.5,1.25,1.0,Lyft,Lyft XL
10,5.0,1.54,1.0,Lyft,Shared
20,42.5,4.63,1.0,Lyft,Lux Black XL
5,6.5,0.49,1.0,Uber,UberPool
23,3.0,1.23,1.0,Lyft,Shared
14,19.5,2.43,1.0,Lyft,Lux Black
17,13.0,1.64,1.0,Uber,UberXL
10,8.0,1.8,1.0,Uber,UberPool
14,30.0,1.72,1.0,Lyft,Lux Black XL
22,42.5,4.76,1.0,Lyft,Lux Black XL
16,19.5,3.05,1.0,Lyft,Lux
17,27.5,0.27,1.0,Uber,Black SUV
9,19.5,1.24,1.0,Lyft,Lux Black
11,7.0,2.39,1.0,Lyft,Shared
17,22.5,2.31,1.0,Uber,Black
8,7.5,1.35,1.0,Uber,WAV
10,6.5,0.02,1.0,Uber,UberPool
17,9.0,1.34,1.0,Lyft,Lyft
10,16.5,3.17,1.5,Lyft,Lyft
3,7.0,0.75,1.0,Lyft,Lyft
16,13.5,4.18,1.0,Lyft,Lyft
23,29.5,1.97,1.0,Uber,Black SUV
19,30.5,2.46,1.0,Uber,Black SUV
19,18.5,2.19,1.0,Uber,Black
22,25.0,1.5,1.0,Uber,Black SUV
15,19.5,2.37,1.0,Lyft,Lux
12,23.5,6.26,1.0,Uber,UberX
15,16.5,2.11,1.0,Lyft,Lux
14,13.5,4.72,1.0,Lyft,Lyft
23,15.5,0.92,1.0,Uber,Black
17,17.5,1.89,1.0,Uber,Black
3,16.5,2.11,1.0,Lyft,Lux
12,7.0,0.98,1.0,Lyft,Lyft
1,27.5,0.9,1.0,Lyft,Lux Black XL
15,9.0,2.58,1.0,Uber,UberPool
16,7.5,0.39,1.0,Uber,WAV
19,7.5,3.05,1.0,Uber,UberPool
20,13.5,2.4,1.0,Lyft,Lyft XL
1,26.0,0.45,1.0,Lyft,Lux Black XL
17,16.5,1.09,1.0,Lyft,Lux Black
11,8.0,2.79,1.0,Uber,UberPool
15,9.0,1.5,1.0,Lyft,Lyft
23,19.5,2.11,1.0,Lyft,Lux Black
18,26.5,1.16,1.0,Uber,Black SUV
7,26.0,0.54,1.0,Uber,Black SUV
